file,t_sec,P
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,280,291.5871887207031
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,285,291.6620788574219
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,290,291.2966003417969
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,295,291.1786193847656
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,300,290.87640380859375
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,305,290.829834
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,310,291.2003479003906
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,315,291.1142578
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,320,291.0545654296875
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,325,291.02459716796875
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,330,290.6256103515625
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,335,290.76641845703125
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,340,290.6230469
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,345,290.5050964355469
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,350,290.5359191894531
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,355,290.6381836
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,360,290.3207092285156
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,365,290.6076354980469
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,370,290.55413818359375
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,375,289.7747802734375
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,380,289.37957763671875
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,385,289.7131042480469
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,390,289.6315002441406
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,395,289.6332702636719
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,400,289.5361328
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,405,289.390625
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,410,289.3357238769531
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,415,289.1053771972656
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,420,288.9720153808594
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,425,288.69000244140625
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,430,288.7875671386719
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,435,288.55828857421875
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,440,288.49456787109375
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,445,288.3734130859375
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,450,288.45220947265625
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,455,312.4196777
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,460,789.6585693359375
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,465,782.3599243164062
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,470,777.7772827148438
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,475,774.7831420898438
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,480,773.4228516
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,485,771.5792236328125
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,490,770.4547119140625
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,495,769.0219727
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,500,765.6641845703125
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,505,768.3666992
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,510,767.5834350585938
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,515,766.8083496
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,520,766.3228149414062
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,525,765.1800537109375
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,530,763.2689819335938
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,535,649.9522705078125
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,540,647.9528809
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,545,647.8994141
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,550,647.8380737304688
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,555,647.6384277
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,560,648.0356445
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,565,648.4102172851562
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,570,648.670166
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,575,647.9373779296875
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,580,647.7906494140625
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,585,646.9317016601562
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,590,647.4917602539062
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,595,647.1233520507812
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,600,647.0131836
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,605,646.9244995117188
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,610,646.7751465
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,615,646.5798950195312
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,620,647.4950561523438
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,625,647.1396484
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,630,647.0258789
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,635,647.220459
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,640,647.9847412109375
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,645,648.0864258
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,650,647.4819336
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,655,646.5677490234375
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,660,647.0667114257812
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,665,646.9542236328125
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,670,646.5808105
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,675,646.8811035
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,680,647.3216552734375
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,685,646.9362182617188
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,690,644.3101196289062
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,695,644.5175170898438
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,700,645.9179688
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,705,645.6850586
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,710,645.6414184570312
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,715,645.1746215820312
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,720,645.7847290039062
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,725,646.0919189453125
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,730,638.4758911132812
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,735,160.76707458496094
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,740,160.9196319580078
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,745,160.90655517578125
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,750,160.78541564941406
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,755,160.7021484
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,760,160.88246154785156
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,765,160.79457092285156
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,770,160.77748107910156
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,775,160.83697509765625
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,780,160.88023376464844
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,785,160.9199219
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,790,160.90060424804688
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,795,160.79090881347656
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,800,160.8100128173828
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,805,160.8096923828125
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,810,160.7660369873047
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,815,160.7637481689453
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,820,160.7686309814453
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,825,160.7419434
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,830,160.72299194335938
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,835,160.82940673828125
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,840,160.69187927246094
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,845,160.79156494140625
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,850,160.7500457763672
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,855,160.72817993164062
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,860,160.7654571533203
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,865,161.4055633544922
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,870,161.47378540039062
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,875,118.20296478271484
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,880,103.50665283203125
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,885,103.51384735107422
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,890,103.50015258789062
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70000.mat,895,103.51411437988281
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,0,103.5022201538086
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,5,103.5020751953125
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,10,103.50300598144531
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,15,103.11477661132812
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,20,102.80147552490234
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,25,102.80364990234375
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,30,102.82514190673828
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,35,82.99776458740234
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,40,19.985939025878906
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,45,19.806930541992188
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,50,20.19757843017578
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,55,18.96649742126465
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,60,18.312976837158203
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,65,20.209489822387695
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,70,17.075035095214844
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,75,19.463518142700195
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,80,16.133085250854492
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,85,18.674285888671875
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,90,16.03126335144043
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,95,15.97595215
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,100,16.00130271911621
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,105,16.264068603515625
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,110,15.824575424194336
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,115,16.13417625427246
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,120,45.05862045288086
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,125,82.99337768554688
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,130,82.60639953613281
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,135,82.64151000976562
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,140,82.53916931152344
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,145,82.43569946289062
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,150,82.37978363
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,155,82.35068512
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,160,82.11807250976562
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,165,81.57905578613281
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,170,81.57807159423828
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,175,81.59232330322266
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,180,81.49819183
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,185,81.44042205810547
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,190,136.6326446533203
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,195,166.4676513671875
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,200,166.0417022705078
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,205,165.6815948486328
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,210,165.2761993408203
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,215,165.04022216796875
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,220,164.86074829101562
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,225,164.7490692138672
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,230,164.6820068359375
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,235,164.81285095214844
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,240,164.74107360839844
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,245,164.67630004882812
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,250,164.59384155273438
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,255,164.58384704589844
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,260,164.6980438232422
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,265,164.63919067382812
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,270,164.6472930908203
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,275,164.56414794921875
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,280,164.65216064453125
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,285,164.60702514648438
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,290,164.5659637451172
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,295,164.6410369873047
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,300,164.73675537109375
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,305,164.68507385253906
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,310,164.5485382080078
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,315,164.48562622070312
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,320,164.56629943847656
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,325,164.63754272460938
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,330,164.39190673828125
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,335,164.51809692382812
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,340,164.43275451660156
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,345,164.3563232421875
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,350,164.41612243652344
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,355,164.51580810546875
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,360,164.58035278320312
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,365,164.4166717529297
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,370,164.3942871
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,375,164.5299835205078
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,380,164.49110412597656
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,385,164.43081665039062
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,390,164.24447631835938
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,395,164.1937713623047
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,400,164.36468505859375
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,405,164.35678100585938
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,410,164.18162536621094
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,415,164.25350952148438
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,420,164.2768555
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,425,164.26246643066406
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,430,164.2644043
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,435,164.22946166992188
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,440,164.24559020996094
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,445,164.33143615722656
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,450,164.3341522216797
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,455,164.41807556152344
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,460,164.40919494628906
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,465,164.34719848632812
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,470,164.5172576904297
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,475,164.31976318359375
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,480,164.22862243652344
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,485,164.27359008789062
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,490,164.17967224121094
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,495,164.3035888671875
Matlab_Data\Natural\7\7H2A2B2C2K2F2D2\Waveform70001.mat,500,164.24874877929688
